Date,Capital financiero - acumulado,Precio por libra,Capital financiero,Ventas,Costos
2029-05-01,83255141857.83488,2885.976318251439,570322651.6861048,570890941.6861048,568290.0
2029-06-01,83825464509.52098,3836.8855997688142,758427277.4068118,758995567.4068118,568290.0
2029-07-01,84583891786.92775,4339.178897662625,857788693.5153669,858356983.5153669,568290.0
2029-08-01,85441680480.44307,5017.403069156533,991951969.038372,992520259.038372,568290.0
2029-09-01,86433632449.48146,1966.0423687103662,388345427.74938196,388913717.74938196,568290.0
2029-10-01,86821977877.23079,4795.216999509783,948000113.394934,948568403.394934,568290.0
2029-11-01,87769977990.62572,4876.59669048223,964098280.2854832,964666570.2854832,568290.0
2029-12-01,88734076270.91121,3307.598083518902,653725985.6243179,654294275.6243179,568290.0
2030-01-01,89387802256.5356,3783.612453809312,747889021.6799499,748457311.6799499,568290.0
2030-02-01,90135691278.21559,4523.6590452408,894281732.1128237,894850022.1128237,568290.0
2030-03-01,91029973010.32848,4582.62411538675,905945938.8526089,906514228.8526089,568290.0
2030-04-01,91935918949.18102,6909.2689858647445,1366192432.4486117,1366760722.4486117,568290.0
2030-05-01,93302111381.6296,3969.41076103897,784642812.7305604,785211102.7305604,568290.0
2030-06-01,94086754194.36015,6358.5013034085605,1257242030.1534915,1257810320.1534915,568290.0
2030-07-01,95343996224.51366,3622.622244807053,716042657.7862823,716610947.7862823,568290.0
2030-08-01,96060038882.29991,6644.7862523275135,1313873639.721904,1314441929.721904,568290.0
2030-09-01,97373912522.02174,3149.558745604165,622463349.8656651,623031639.8656651,568290.0
2030-10-01,97996375871.88747,4432.012260363521,876152574.5760101,876720864.5760101,568290.0
2030-11-01,98872528446.46342,5344.559802408861,1056668652.3819597,1057236942.3819597,568290.0
2030-12-01,99929197098.84532,3915.0655133061964,773892478.620707,774460768.620707,568290.0
2031-01-01,100703089577.46608,2404.9719879377076,475172524.032155,475740814.032155,568290.0
2031-02-01,101178262101.49821,4881.321152556785,965032852.2657332,965601142.2657332,568290.0
2031-03-01,102143294953.76399,5277.919978745128,1043486260.1895542,1044054550.1895542,568290.0
2031-04-01,103186781213.9535,3384.7247185383103,668982831.9874884,669551121.9874884,568290.0
2031-05-01,103855764045.94096,3860.69324526568,763136799.4742937,763705089.4742937,568290.0
2031-06-01,104618900845.4153,6000.50928698823,1186425648.8554854,1186993938.8554854,568290.0
2031-07-01,105805326494.27074,4179.822551666507,826265533.102013,826833823.102013,568290.0
2031-08-01,106631592027.3727,4580.639434238367,905553338.0947366,906121628.0947366,568290.0
2031-09-01,107537145365.46748,1893.5600061638702,374007290.6177253,374575580.6177253,568290.0
2031-10-01,107911152656.08516,3988.259830074431,788371451.3557314,788939741.3557314,568290.0
2031-11-01,108699524107.4409,4672.252215730578,923675769.233832,924244059.233832,568290.0
2031-12-01,109623199876.67476,3508.1238459863216,693393096.0726496,693961386.0726496,568290.0
2032-01-01,110316592972.74745,5375.027685425963,1062695672.8799496,1063263962.8799496,568290.0
2032-02-01,111379288645.6274,3004.9410486466477,593855723.1577041,594424013.1577041,568290.0
2032-03-01,111973144368.78505,4639.268179121778,917151014.4736766,917719304.4736766,568290.0
2032-04-01,112890295383.25877,4603.501668276487,910075843.0912358,910644133.0912358,568290.0
2032-05-01,113800371226.35005,4254.297492888747,840997833.2451211,841566123.2451211,568290.0
2032-06-01,114641369059.59514,4918.1951529082835,972327102.2743943,972895392.2743943,568290.0
2032-07-01,115613696161.86946,5177.40162367783,1023602168.2730008,1024170458.2730008,568290.0
2032-08-01,116637298330.14247,7502.136324355918,1483470800.6131952,1484039090.6131952,568290.0
2032-09-01,118120769130.75572,4739.897900090687,937057136.2953403,937625426.2953403,568290.0
2032-10-01,119057826267.05104,4006.649945947537,792009301.9167765,792577591.9167765,568290.0
2032-11-01,119849835568.96785,4585.749438175224,906564176.2437133,907132466.2437133,568290.0
2032-12-01,120756399745.2116,6390.114349375833,1263495581.670074,1264063871.670074,568290.0
2033-01-01,122019895326.88167,3684.3514701371596,728253657.3552635,728821947.3552635,568290.0
2033-02-01,122748148984.23686,5195.598714223479,1027201835.426142,1027770125.426142,568290.0
2033-03-01,123775350819.66304,4447.983033092653,879311841.4851418,879880131.4851418,568290.0
2033-04-01,124654662661.14818,3767.646012450948,744730611.5832326,745298901.5832326,568290.0
2033-05-01,125399393272.73143,5148.8620892013105,1017956605.0680835,1018524895.0680835,568290.0
2033-06-01,126417349877.79948,5039.738795531876,996370322.6412833,996938612.6412833,568290.0
2033-07-01,127413720200.44078,3981.017352648495,786938776.8283333,787507066.8283333,568290.0
2033-08-01,128200658977.26909,5165.6913058796545,1021285685.5240036,1021853975.5240036,568290.0
2033-09-01,129221944662.79308,3109.765265634014,614591581.4421145,615159871.4421145,568290.0
2033-10-01,129836536244.23518,3024.4135922907562,597707694.7444786,598275984.7444786,568290.0
2033-11-01,130434243938.9796,5477.336438675366,1082933933.3659785,1083502223.3659785,568290.0
2033-12-01,131517177872.34554,4996.555481347351,987827992.3581064,988396282.3581064,568290.0
2034-01-01,132505005864.70363,3765.991790793819,744403380.8455361,744971670.8455361,568290.0
2034-02-01,133249409245.54912,5937.831060959418,1174026922.2081087,1174595212.2081087,568290.0
2034-03-01,134423436167.75722,3364.6222426860613,665006250.0256288,665574540.0256288,568290.0
2034-04-01,135088442417.78285,4638.5949436162155,917017838.0337603,917586128.0337603,568290.0
2034-05-01,136005460255.8166,4534.508168218469,896427857.1499628,896996147.1499628,568290.0
2034-06-01,136901888112.96657,4365.261360524189,862948209.7907994,863516499.7907994,568290.0
2034-07-01,137764836322.75732,4410.229476762789,871843601.6424065,872411891.6424065,568290.0
2034-08-01,138636679924.39978,4088.5954503339653,808219395.4890116,808787685.4890116,568290.0
2034-09-01,139444899319.88867,2689.4280042205137,531442342.31755257,532010632.31755257,568290.0
2034-10-01,139976341662.20618,3810.0260765499615,753114046.52315,753682336.52315,568290.0
2034-11-01,140729455708.7293,3059.215815056502,604592114.967145,605160404.967145,568290.0
2034-12-01,141334047823.69635,3868.2021769372686,764622182.790137,765190472.790137,568290.0
2035-01-01,142098670006.48657,6458.120738498144,1276948301.7361317,1277516591.7361317,568290.0
2035-02-01,143375618308.22272,2926.2993121132668,578299166.1820135,578867456.1820135,568290.0
2035-03-01,143953917474.40466,2576.341858307569,509072146.16465795,509640436.16465795,568290.0
2035-04-01,144462989620.5692,4767.846036014556,942585711.6807463,943154001.6807463,568290.0
2035-05-01,145405575332.24982,6423.022860957291,1270005396.4067416,1270573686.4067416,568290.0
2035-06-01,146675580728.65668,5090.51857929148,1006415352.5972813,1006983642.5972813,568290.0
2035-07-01,147681996081.25403,3637.581168580022,719001765.255513,719570055.255513,568290.0
